m=	s=	me=	        E=	        D=
10	20	11.631395	1.631395	0.163139
10	50	13.694716	3.694716	0.369472
10	100	13.676617	3.676617	0.367662
10	1000	13.805898	3.805898	0.380590
20	40	23.464467	3.464467	0.173223
20	100	27.112772	7.112772	0.355639
20	200	27.966025	7.966025	0.398301
20	2000	27.337720	7.337720	0.366886
30	60	36.188285	6.188285	0.206276
30	150	40.439038	10.439038	0.347968
30	300	42.267068	12.267068	0.408902
30	3000	38.954894	8.954894	0.298496
40	80	47.109927	7.109927	0.177748
40	200	54.716810	14.716810	0.367920
40	400	54.815064	14.815064	0.370377
40	4000	56.599139	16.599139	0.414978
50	100	61.511810	11.511810	0.230236
50	250	67.257049	17.257049	0.345141
50	500	69.759926	19.759926	0.395199
50	5000	70.882083	20.882083	0.417642
100	200	119.103825	19.103825	0.191038
100	500	132.466290	32.466290	0.324663
100	1000	132.197386	32.197386	0.321974
100	10000	139.726700	39.726700	0.397267
500	1000	616.783235	116.783235	0.233566
500	2500	653.478300	153.478300	0.306957
500	5000	672.839394	172.839394	0.345679
500	50000	679.872271	179.872271	0.359745
1000	2000	1174.904009	174.904009	0.174904
1000	5000	1379.436594	379.436594	0.379437
1000	10000	1298.848108	298.848108	0.298848
1000	100000	1399.459606	399.459606	0.399460
